station_id,year,month,obs_mm_day
WA001,2001,1,0.0
WA001,2001,2,0.0
WA001,2001,3,0.0
WA001,2001,4,0.0
WA001,2001,5,0.0
WA001,2001,6,0.017
WA001,2001,7,3.5232
WA001,2001,8,4.681
WA001,2001,9,3.7977
WA001,2001,10,0.1168
WA001,2001,11,0.21
WA001,2001,12,0.0
WA001,2002,1,1.2129
WA001,2002,2,0.0
WA001,2002,3,0.0
WA001,2002,4,0.0
WA001,2002,5,0.0
WA001,2002,6,0.393
WA001,2002,7,0.3848
WA001,2002,8,3.0158
WA001,2002,9,3.5043
WA001,2002,10,1.3181
WA001,2002,11,0.0
WA001,2002,12,0.0084
WA001,2003,1,0.0
WA001,2003,2,0.0
WA001,2003,3,0.0
WA001,2003,4,0.0
WA001,2003,5,0.0
WA001,2003,6,2.5057
WA001,2003,7,1.7865
WA001,2003,8,4.5284
WA001,2003,9,3.3417
WA001,2003,10,1.3045
WA001,2003,11,0.0
WA001,2003,12,0.0
WA001,2004,1,0.0
WA001,2004,2,0.0
WA001,2004,3,0.0
WA001,2004,4,0.0
WA001,2004,5,0.0
WA001,2004,6,0.438
WA001,2004,7,0.8945
WA001,2004,8,4.3761
WA001,2004,9,3.2107
WA001,2004,10,0.0081
WA001,2004,11,0.002
WA001,2004,12,0.0
WA001,2005,1,0.0
WA001,2005,2,0.1329
WA001,2005,3,0.0
WA001,2005,4,0.0
WA001,2005,5,0.0
WA001,2005,6,0.486
WA001,2005,7,4.3168
WA001,2005,8,10.8423
WA001,2005,9,5.628
WA001,2005,10,1.6374
WA001,2005,11,0.0
WA001,2005,12,0.0
WA001,2006,1,0.0
WA001,2006,2,0.0436
WA001,2006,3,0.0
WA001,2006,4,0.0
WA001,2006,5,0.0
WA001,2006,6,0.425
WA001,2006,7,1.8832
WA001,2006,8,4.9174
WA001,2006,9,7.7057
WA001,2006,10,1.1981
WA001,2006,11,0.0
WA001,2006,12,0.0
WA001,2007,1,0.0
WA001,2007,2,0.0
WA001,2007,3,0.0
WA001,2007,4,0.0
WA001,2007,5,0.0
WA001,2007,6,0.1027
WA001,2007,7,3.2055
WA001,2007,8,3.6297
WA001,2007,9,4.4097
WA001,2007,10,0.0
WA001,2007,11,0.0
WA001,2007,12,0.0
WA001,2008,1,0.0
WA001,2008,2,0.0376
WA001,2008,3,0.0
WA001,2008,4,0.0
WA001,2008,5,0.0
WA001,2008,6,0.1313
WA001,2008,7,4.32
WA001,2008,8,6.8355
WA001,2008,9,7.1823
WA001,2008,10,0.3306
WA001,2008,11,0.0
WA001,2008,12,0.0
WA001,2009,1,0.0
WA001,2009,2,0.0
WA001,2009,3,0.0
WA001,2009,4,0.0
WA001,2009,5,0.0
WA001,2009,6,0.0637
WA001,2009,7,1.9294
WA001,2009,8,8.3477
WA001,2009,9,6.7897
WA001,2009,10,0.73
WA001,2009,11,0.001
WA001,2009,12,0.0
WA001,2010,1,0.0
WA001,2010,2,0.0
WA001,2010,3,0.0
WA001,2010,4,0.0
WA001,2010,5,0.0
WA001,2010,6,1.711
WA001,2010,7,2.7942
WA001,2010,8,5.7571
WA001,2010,9,9.838
WA001,2010,10,0.6687
WA001,2010,11,0.0
WA001,2010,12,0.0
WA001,2011,1,0.0
WA001,2011,2,0.0
WA001,2011,3,0.0
WA001,2011,4,0.0
WA001,2011,5,0.0
WA001,2011,6,0.224
WA001,2011,7,1.0919
WA001,2011,8,6.4087
WA001,2011,9,3.2247
WA001,2011,10,0.2226
WA001,2011,11,0.0
WA001,2011,12,0.0
WA001,2012,1,0.0
WA001,2012,2,0.0
WA001,2012,3,0.1277
WA001,2012,4,0.0
WA001,2012,5,0.0
WA001,2012,6,0.031
WA001,2012,7,2.9068
WA001,2012,8,11.9768
WA001,2012,9,6.8597
WA001,2012,10,0.0
WA001,2012,11,0.0023
WA001,2012,12,0.0
WA001,2013,1,0.0
WA001,2013,2,0.0
WA001,2013,3,0.0
WA001,2013,4,0.0
WA001,2013,5,0.0
WA001,2013,6,0.4143
WA001,2013,7,1.4494
WA001,2013,8,9.4087
WA001,2013,9,6.1863
WA001,2013,10,1.0116
WA001,2013,11,0.1157
WA001,2013,12,0.2171
WA001,2014,1,0.0
WA001,2014,2,0.0
WA001,2014,3,0.0
WA001,2014,4,0.0
WA001,2014,5,0.0
WA001,2014,6,0.0003
WA001,2014,7,0.1084
WA001,2014,8,3.9113
WA001,2014,9,3.0037
WA001,2014,10,0.2487
WA001,2014,11,0.0
WA001,2014,12,0.0
WA001,2015,1,0.0
WA001,2015,2,0.0
WA001,2015,3,0.0
WA001,2015,4,0.0
WA001,2015,5,0.0
WA001,2015,6,0.0
WA001,2015,7,2.9106
WA001,2015,8,10.8464
WA001,2015,9,8.3523
WA001,2015,10,2.959
WA001,2015,11,0.0003
WA001,2015,12,0.0
WA001,2016,1,0.0
WA001,2016,2,0.0
WA001,2016,3,0.0
WA001,2016,4,0.0
WA001,2016,5,0.0
WA001,2016,6,0.0
WA001,2016,7,1.9619
WA001,2016,8,5.8065
WA001,2016,9,7.2753
WA001,2016,10,0.0042
WA001,2016,11,0.008
WA001,2016,12,0.0
WA001,2017,1,0.0
WA001,2017,2,0.0
