station_id,year,month,obs_mm_day,CHIRPS,ERA5_LAND,GPM_IMERG,MERRA2,PERSIANN_CDR,TERRACLIMATE,zone_name,zone_id
WA001,2000,1,2.88,0.023929102,0.047658976,,0.262001932,0.05074884,0.0,Soudanian,3
WA001,2000,2,3.2,0.004474782,0.011446738,,0.289426357,0.027264215,0.0,Soudanian,3
WA001,2000,3,3.44,2.09e-07,0.00087443,,0.002013924,0.005996239,0.0,Soudanian,3
WA001,2000,4,1.68,0.000425329,0.003271449,,0.096094608,0.046319749,0.0,Soudanian,3
WA001,2000,5,0.0,0.00299511,0.001144731,,0.031221567,0.023521891,0.0,Soudanian,3
WA001,2000,6,0.0,0.39826259,0.002918069,0.099766701,0.104320213,0.728440762,0.072901413,Soudanian,3
WA001,2000,7,2.66,2.482381344,1.31497252,4.4335289,1.870622277,4.700601578,4.73542738,Soudanian,3
WA001,2000,8,4.1,5.763256073,3.456562281,5.33797121,3.468026638,7.912898064,5.126700878,Soudanian,3
WA001,2000,9,2.48,3.56505537,2.012238741,1.918314099,3.024285555,4.880700111,3.499848604,Soudanian,3
WA001,2000,10,0.0,2.202451706,2.132926226,2.932256937,2.556036234,4.097891808,3.024106026,Soudanian,3
WA001,2000,11,1.6,0.030787786,0.002234397,0.062271461,0.261820078,0.139198974,0.0,Soudanian,3
WA001,2000,12,1.47,0.032585789,0.000969268,0.0,0.248404205,0.003819395,0.0,Soudanian,3
WA001,2001,1,2.58,0.017153015,0.000913482,0.0,,0.003612572,0.0,Soudanian,3
WA001,2001,2,5.91,0.009707624,0.001119276,0.016504768,,0.019278185,0.0,Soudanian,3
WA001,2001,3,3.08,4.13e-06,0.001736172,0.051028613,,0.003365439,0.0,Soudanian,3
WA001,2001,4,0.0,0.0,0.001789369,0.09753339,,0.01931143,0.0,Soudanian,3
WA001,2001,5,0.96,0.0,0.000821316,0.048019078,,0.048882075,0.0,Soudanian,3
WA001,2001,6,0.0,0.609078526,0.021078942,0.306814402,,0.477186739,0.304088473,Soudanian,3
WA001,2001,7,3.6,1.427307844,1.739211917,3.816318512,,3.803120613,2.467439175,Soudanian,3
WA001,2001,8,4.44,6.430353642,5.037064075,5.359762669,,6.651994228,3.83848381,Soudanian,3
WA001,2001,9,2.27,5.485469341,3.878793716,6.648019314,,7.241941452,4.279056549,Soudanian,3
WA001,2001,10,0.0,0.496683329,0.515495658,0.377300084,,0.408300579,0.520131707,Soudanian,3
WA001,2001,11,2.03,0.082272619,0.082668923,1.209372044,,0.333514661,0.491579652,Soudanian,3
WA001,2001,12,0.31,0.034813501,0.001990984,0.034523841,,0.018427683,0.0,Soudanian,3
WA001,2002,1,1.96,0.034616765,1.740242958,1.495495319,,0.798869491,0.08872506,Soudanian,3
WA001,2002,2,4.06,0.010579134,0.001462976,0.162019074,,0.014593735,0.0,Soudanian,3
WA001,2002,3,3.17,0.000136434,0.013202479,0.006,,0.007342282,0.0,Soudanian,3
WA001,2002,4,0.96,7.28e-05,0.020682491,0.042757157,,0.001586284,0.0,Soudanian,3
WA001,2002,5,1.02,0.0,0.003190667,0.043514304,,0.025821483,0.0,Soudanian,3
WA001,2002,6,1.04,0.39326641,0.028225521,1.738848209,,0.790235281,0.445739239,Soudanian,3
WA001,2002,7,5.18,2.250347376,0.077077523,0.689185619,,0.869947314,0.312454462,Soudanian,3
WA001,2002,8,3.99,7.197800636,3.351172209,5.039166927,,4.014968872,4.0380373,Soudanian,3
WA001,2002,9,1.86,4.342318058,2.180491447,3.811781406,,4.855903149,4.320741653,Soudanian,3
WA001,2002,10,0.0,1.642272711,1.305399895,1.325981021,,1.32955122,1.358826041,Soudanian,3
WA001,2002,11,1.27,0.029110504,0.001016917,0.096019082,,0.001282375,0.0,Soudanian,3
WA001,2002,12,1.91,0.042566169,0.030302195,0.579219401,,0.013479142,0.008049133,Soudanian,3
WA001,2003,1,2.36,0.016690571,0.002217574,0.033009537,,0.013556711,0.0,Soudanian,3
WA001,2003,2,3.45,0.006885546,0.021062864,0.22508584,,0.019778438,0.058068417,Soudanian,3
WA001,2003,3,1.47,0.000933452,0.00085833,0.022504769,,0.008223538,0.0,Soudanian,3
WA001,2003,4,1.31,0.000196852,0.001779356,0.05176669,,0.005785966,0.0,Soudanian,3
WA001,2003,5,1.43,0.028732559,0.001431048,0.060757156,,0.021908389,0.0,Soudanian,3
WA001,2003,6,1.18,0.311924726,0.126087531,1.320433021,,0.662024438,0.418640643,Soudanian,3
WA001,2003,7,1.67,3.973827124,0.886015177,2.082528353,,3.987729311,2.364631414,Soudanian,3
WA001,2003,8,4.79,4.7533741,2.180873871,3.292747021,,3.726638079,4.564231396,Soudanian,3
WA001,2003,9,2.65,5.697887421,4.187524319,3.635166645,,5.708518982,4.385291576,Soudanian,3
WA001,2003,10,0.77,0.925657213,2.003302574,1.49555254,,1.417329788,1.554389834,Soudanian,3
WA001,2003,11,1.59,0.006574864,0.00098791,0.036757153,,0.021151407,0.0,Soudanian,3
WA001,2003,12,0.78,0.034867253,0.007043033,0.027009537,,0.015803296,0.0,Soudanian,3
WA001,2004,1,3.35,0.022027774,0.036556095,0.283628792,,0.003479092,0.038320012,Soudanian,3
WA001,2004,2,4.58,0.001308704,0.002223343,0.23030962,,0.003819206,0.056066055,Soudanian,3
WA001,2004,3,2.86,1.7e-05,0.006075732,0.079495236,,0.000370878,0.0,Soudanian,3
WA001,2004,4,1.29,0.000890112,0.00128309,0.082523845,,0.024791367,0.0,Soudanian,3
WA001,2004,5,0.0,0.020559138,0.000817884,0.044271462,,0.036916036,0.0,Soudanian,3
WA001,2004,6,0.1,0.433130056,0.012436413,0.323166549,,0.310147613,0.270755142,Soudanian,3
WA001,2004,7,1.91,3.883444071,0.653364539,1.284661889,,2.638221741,1.064351797,Soudanian,3
WA001,2004,8,3.7,3.956041098,1.70335412,6.021486759,,6.389416695,4.906956673,Soudanian,3
WA001,2004,9,2.16,2.998328209,1.420749545,2.552685499,,2.762327433,3.474891424,Soudanian,3
WA001,2004,10,2.37,0.375219554,0.077614523,0.165028632,,0.256390512,0.129032254,Soudanian,3
WA001,2004,11,0.0,0.030874327,0.00898409,0.060000002,,0.570557535,0.0,Soudanian,3
WA001,2004,12,1.71,0.031489372,0.004608399,0.09902861,,0.000292297,0.0,Soudanian,3
