system:index,month,precip_mm_day,product,station_id,year,.geo
20000601000000_0,6,0.0997667014598846,GPM_IMERG,WA001,2000,"{""type"":""Point"",""coordinates"":[-17.470000000000002,14.73]}"
20000601000000_1,6,4.029923439025879,GPM_IMERG,WA002,2000,"{""type"":""Point"",""coordinates"":[-7.949999999999998,12.65]}"
20000601000000_2,6,3.992431402206421,GPM_IMERG,WA003,2000,"{""type"":""Point"",""coordinates"":[-1.5200000000000002,12.360000000000001]}"
20000601000000_3,6,2.9631266593933105,GPM_IMERG,WA004,2000,"{""type"":""Point"",""coordinates"":[2.17,13.51]}"
20000601000000_4,6,6.000070571899414,GPM_IMERG,WA005,2000,"{""type"":""Point"",""coordinates"":[7.33,9.07]}"
20000601000000_5,6,4.977797985076904,GPM_IMERG,WA006,2000,"{""type"":""Point"",""coordinates"":[-0.17,5.56]}"
20000601000000_6,6,14.262650489807127,GPM_IMERG,WA007,2000,"{""type"":""Point"",""coordinates"":[-3.9299999999999997,5.349999999999999]}"
20000601000000_7,6,10.448038101196287,GPM_IMERG,WA008,2000,"{""type"":""Point"",""coordinates"":[-13.67,9.53]}"
20000601000000_8,6,12.432350158691406,GPM_IMERG,WA009,2000,"{""type"":""Point"",""coordinates"":[-13.230000000000002,8.489999999999998]}"
20000601000000_9,6,15.930805206298828,GPM_IMERG,WA010,2000,"{""type"":""Point"",""coordinates"":[-10.799999999999999,6.3]}"
20000601000000_10,6,4.969673156738281,GPM_IMERG,WA011,2000,"{""type"":""Point"",""coordinates"":[1.22,6.130000000000001]}"
20000601000000_11,6,5.708019733428955,GPM_IMERG,WA012,2000,"{""type"":""Point"",""coordinates"":[2.42,6.37]}"
20000601000000_12,6,3.8255057334899902,GPM_IMERG,WA013,2000,"{""type"":""Point"",""coordinates"":[8.52,12.05]}"
20000601000000_13,6,11.314682006835938,GPM_IMERG,WA014,2000,"{""type"":""Point"",""coordinates"":[-1.62,6.69]}"
20000601000000_14,6,2.8534207344055176,GPM_IMERG,WA015,2000,"{""type"":""Point"",""coordinates"":[-16.680000000000003,13.45]}"
20000701000000_0,7,4.433528900146484,GPM_IMERG,WA001,2000,"{""type"":""Point"",""coordinates"":[-17.470000000000002,14.73]}"
20000701000000_1,7,8.034698486328125,GPM_IMERG,WA002,2000,"{""type"":""Point"",""coordinates"":[-7.949999999999998,12.65]}"
