system:index,month,precip_mm_day,product,station_id,year,.geo
1_1_1_1_1_1_1_1_1_1_1_0,1,0.17695902287960052,MERRA2,WA001,2007,"{""type"":""Point"",""coordinates"":[-17.470000000000002,14.73]}"
1_1_1_1_1_1_1_1_1_1_1_1,1,4.03909471060615E-5,MERRA2,WA002,2007,"{""type"":""Point"",""coordinates"":[-7.949999999999998,12.65]}"
1_1_1_1_1_1_1_1_1_1_1_2,1,2.535402927605901E-7,MERRA2,WA003,2007,"{""type"":""Point"",""coordinates"":[-1.5200000000000002,12.360000000000001]}"
1_1_1_1_1_1_1_1_1_1_1_3,1,0.003850386943668127,MERRA2,WA004,2007,"{""type"":""Point"",""coordinates"":[2.17,13.51]}"
1_1_1_1_1_1_1_1_1_1_1_4,1,1.3987587976771465E-8,MERRA2,WA005,2007,"{""type"":""Point"",""coordinates"":[7.33,9.07]}"
1_1_1_1_1_1_1_1_1_1_1_5,1,0.10799455642700195,MERRA2,WA006,2007,"{""type"":""Point"",""coordinates"":[-0.17,5.56]}"
1_1_1_1_1_1_1_1_1_1_1_6,1,0.31270214915275574,MERRA2,WA007,2007,"{""type"":""Point"",""coordinates"":[-3.9299999999999997,5.349999999999999]}"
1_1_1_1_1_1_1_1_1_1_1_7,1,3.317854498163797E-5,MERRA2,WA008,2007,"{""type"":""Point"",""coordinates"":[-13.67,9.53]}"
1_1_1_1_1_1_1_1_1_1_1_8,1,0.0035444090608507395,MERRA2,WA009,2007,"{""type"":""Point"",""coordinates"":[-13.230000000000002,8.489999999999998]}"
1_1_1_1_1_1_1_1_1_1_1_9,1,0.008358856663107872,MERRA2,WA010,2007,"{""type"":""Point"",""coordinates"":[-10.799999999999999,6.3]}"
1_1_1_1_1_1_1_1_1_1_1_10,1,0.05983603373169899,MERRA2,WA011,2007,"{""type"":""Point"",""coordinates"":[1.22,6.130000000000001]}"
1_1_1_1_1_1_1_1_1_1_1_11,1,0.03017236851155758,MERRA2,WA012,2007,"{""type"":""Point"",""coordinates"":[2.42,6.37]}"
1_1_1_1_1_1_1_1_1_1_1_12,1,6.435900701262653E-8,MERRA2,WA013,2007,"{""type"":""Point"",""coordinates"":[8.52,12.05]}"
1_1_1_1_1_1_1_1_1_1_1_13,1,0.12617668509483337,MERRA2,WA014,2007,"{""type"":""Point"",""coordinates"":[-1.62,6.69]}"
1_1_1_1_1_1_1_1_1_1_1_14,1,1.6355502907572372E-7,MERRA2,WA015,2007,"{""type"":""Point"",""coordinates"":[-16.680000000000003,13.45]}"
1_1_1_1_1_1_1_1_1_1_2_0,2,0.23826581239700317,MERRA2,WA001,2007,"{""type"":""Point"",""coordinates"":[-17.470000000000002,14.73]}"
1_1_1_1_1_1_1_1_1_1_2_1,2,0.03869136422872543,MERRA2,WA002,2007,"{""type"":""Point"",""coordinates"":[-7.949999999999998,12.65]}"
1_1_1_1_1_1_1_1_1_1_2_2,2,3.829962224699557E-6,MERRA2,WA003,2007,"{""type"":""Point"",""coordinates"":[-1.5200000000000002,12.360000000000001]}"
1_1_1_1_1_1_1_1_1_1_2_3,2,3.464661801899638E-7,MERRA2,WA004,2007,"{""type"":""Point"",""coordinates"":[2.17,13.51]}"
1_1_1_1_1_1_1_1_1_1_2_4,2,0.14395977556705475,MERRA2,WA005,2007,"{""type"":""Point"",""coordinates"":[7.33,9.07]}"
1_1_1_1_1_1_1_1_1_1_2_5,2,0.8430111408233643,MERRA2,WA006,2007,"{""type"":""Point"",""coordinates"":[-0.17,5.56]}"
1_1_1_1_1_1_1_1_1_1_2_6,2,2.024026393890381,MERRA2,WA007,2007,"{""type"":""Point"",""coordinates"":[-3.9299999999999997,5.349999999999999]}"
