system:index,month,precip_mm_day,product,station_id,year,.geo
200001_0,1,0.0,TERRACLIMATE,WA001,2000,"{""type"":""Point"",""coordinates"":[-17.470000000000002,14.73]}"
200001_1,1,0.0,TERRACLIMATE,WA002,2000,"{""type"":""Point"",""coordinates"":[-7.949999999999998,12.65]}"
200001_2,1,0.0,TERRACLIMATE,WA003,2000,"{""type"":""Point"",""coordinates"":[-1.5200000000000002,12.360000000000001]}"
200001_3,1,0.0,TERRACLIMATE,WA004,2000,"{""type"":""Point"",""coordinates"":[2.17,13.51]}"
200001_4,1,0.0322580635547637,TERRACLIMATE,WA005,2000,"{""type"":""Point"",""coordinates"":[7.33,9.07]}"
200001_5,1,0.578643262386322,TERRACLIMATE,WA006,2000,"{""type"":""Point"",""coordinates"":[-0.17,5.56]}"
200001_6,1,2.5100886821746826,TERRACLIMATE,WA007,2000,"{""type"":""Point"",""coordinates"":[-3.9299999999999997,5.349999999999999]}"
200001_7,1,0.0,TERRACLIMATE,WA008,2000,"{""type"":""Point"",""coordinates"":[-13.67,9.53]}"
200001_8,1,0.0,TERRACLIMATE,WA009,2000,"{""type"":""Point"",""coordinates"":[-13.230000000000002,8.489999999999998]}"
200001_9,1,2.257824182510376,TERRACLIMATE,WA010,2000,"{""type"":""Point"",""coordinates"":[-10.799999999999999,6.3]}"
200001_10,1,0.1834695637226104,TERRACLIMATE,WA011,2000,"{""type"":""Point"",""coordinates"":[1.22,6.130000000000001]}"
200001_11,1,0.0645161271095275,TERRACLIMATE,WA012,2000,"{""type"":""Point"",""coordinates"":[2.42,6.37]}"
200001_12,1,0.0,TERRACLIMATE,WA013,2000,"{""type"":""Point"",""coordinates"":[8.52,12.05]}"
200001_13,1,1.1189775466918943,TERRACLIMATE,WA014,2000,"{""type"":""Point"",""coordinates"":[-1.62,6.69]}"
200001_14,1,0.0,TERRACLIMATE,WA015,2000,"{""type"":""Point"",""coordinates"":[-16.680000000000003,13.45]}"
200002_0,2,0.0,TERRACLIMATE,WA001,2000,"{""type"":""Point"",""coordinates"":[-17.470000000000002,14.73]}"
200002_1,2,0.0,TERRACLIMATE,WA002,2000,"{""type"":""Point"",""coordinates"":[-7.949999999999998,12.65]}"
200002_2,2,0.0,TERRACLIMATE,WA003,2000,"{""type"":""Point"",""coordinates"":[-1.5200000000000002,12.360000000000001]}"
200002_3,2,0.0,TERRACLIMATE,WA004,2000,"{""type"":""Point"",""coordinates"":[2.17,13.51]}"
200002_4,2,0.0,TERRACLIMATE,WA005,2000,"{""type"":""Point"",""coordinates"":[7.33,9.07]}"
200002_5,2,0.1961248964071273,TERRACLIMATE,WA006,2000,"{""type"":""Point"",""coordinates"":[-0.17,5.56]}"
200002_6,2,1.4676860570907593,TERRACLIMATE,WA007,2000,"{""type"":""Point"",""coordinates"":[-3.9299999999999997,5.349999999999999]}"
200002_7,2,0.0,TERRACLIMATE,WA008,2000,"{""type"":""Point"",""coordinates"":[-13.67,9.53]}"
200002_8,2,0.0,TERRACLIMATE,WA009,2000,"{""type"":""Point"",""coordinates"":[-13.230000000000002,8.489999999999998]}"
200002_9,2,0.8726656436920166,TERRACLIMATE,WA010,2000,"{""type"":""Point"",""coordinates"":[-10.799999999999999,6.3]}"
200002_10,2,0.1314661651849746,TERRACLIMATE,WA011,2000,"{""type"":""Point"",""coordinates"":[1.22,6.130000000000001]}"
200002_11,2,0.1379310339689254,TERRACLIMATE,WA012,2000,"{""type"":""Point"",""coordinates"":[2.42,6.37]}"
200002_12,2,0.0,TERRACLIMATE,WA013,2000,"{""type"":""Point"",""coordinates"":[8.52,12.05]}"
200002_13,2,0.6745584011077881,TERRACLIMATE,WA014,2000,"{""type"":""Point"",""coordinates"":[-1.62,6.69]}"
200002_14,2,0.0,TERRACLIMATE,WA015,2000,"{""type"":""Point"",""coordinates"":[-16.680000000000003,13.45]}"
200003_0,3,0.0,TERRACLIMATE,WA001,2000,"{""type"":""Point"",""coordinates"":[-17.470000000000002,14.73]}"
200003_1,3,0.1693478673696518,TERRACLIMATE,WA002,2000,"{""type"":""Point"",""coordinates"":[-7.949999999999998,12.65]}"
200003_2,3,0.0322580635547637,TERRACLIMATE,WA003,2000,"{""type"":""Point"",""coordinates"":[-1.5200000000000002,12.360000000000001]}"
200003_3,3,0.0,TERRACLIMATE,WA004,2000,"{""type"":""Point"",""coordinates"":[2.17,13.51]}"
200003_4,3,0.1834738850593567,TERRACLIMATE,WA005,2000,"{""type"":""Point"",""coordinates"":[7.33,9.07]}"
200003_5,3,2.923464775085449,TERRACLIMATE,WA006,2000,"{""type"":""Point"",""coordinates"":[-0.17,5.56]}"
200003_6,3,2.252053022384644,TERRACLIMATE,WA007,2000,"{""type"":""Point"",""coordinates"":[-3.9299999999999997,5.349999999999999]}"
200003_7,3,0.0,TERRACLIMATE,WA008,2000,"{""type"":""Point"",""coordinates"":[-13.67,9.53]}"
200003_8,3,0.1189008727669715,TERRACLIMATE,WA009,2000,"{""type"":""Point"",""coordinates"":[-13.230000000000002,8.489999999999998]}"
200003_9,3,1.7642379999160769,TERRACLIMATE,WA010,2000,"{""type"":""Point"",""coordinates"":[-10.799999999999999,6.3]}"
200003_10,3,3.6391735076904297,TERRACLIMATE,WA011,2000,"{""type"":""Point"",""coordinates"":[1.22,6.130000000000001]}"
200003_11,3,1.983858346939087,TERRACLIMATE,WA012,2000,"{""type"":""Point"",""coordinates"":[2.42,6.37]}"
200003_12,3,0.0,TERRACLIMATE,WA013,2000,"{""type"":""Point"",""coordinates"":[8.52,12.05]}"
200003_13,3,3.8749964237213135,TERRACLIMATE,WA014,2000,"{""type"":""Point"",""coordinates"":[-1.62,6.69]}"
200003_14,3,0.0,TERRACLIMATE,WA015,2000,"{""type"":""Point"",""coordinates"":[-16.680000000000003,13.45]}"
200004_0,4,0.0,TERRACLIMATE,WA001,2000,"{""type"":""Point"",""coordinates"":[-17.470000000000002,14.73]}"
200004_1,4,0.7603787779808044,TERRACLIMATE,WA002,2000,"{""type"":""Point"",""coordinates"":[-7.949999999999998,12.65]}"
200004_2,4,0.5083091855049133,TERRACLIMATE,WA003,2000,"{""type"":""Point"",""coordinates"":[-1.5200000000000002,12.360000000000001]}"
200004_3,4,0.14998559653759,TERRACLIMATE,WA004,2000,"{""type"":""Point"",""coordinates"":[2.17,13.51]}"
200004_4,4,0.8749868273735046,TERRACLIMATE,WA005,2000,"{""type"":""Point"",""coordinates"":[7.33,9.07]}"
200004_5,4,3.231295824050904,TERRACLIMATE,WA006,2000,"{""type"":""Point"",""coordinates"":[-0.17,5.56]}"
200004_6,4,7.816679954528809,TERRACLIMATE,WA007,2000,"{""type"":""Point"",""coordinates"":[-3.9299999999999997,5.349999999999999]}"
200004_7,4,0.2228988856077194,TERRACLIMATE,WA008,2000,"{""type"":""Point"",""coordinates"":[-13.67,9.53]}"
200004_8,4,0.1854637265205383,TERRACLIMATE,WA009,2000,"{""type"":""Point"",""coordinates"":[-13.230000000000002,8.489999999999998]}"
200004_9,4,3.666717767715454,TERRACLIMATE,WA010,2000,"{""type"":""Point"",""coordinates"":[-10.799999999999999,6.3]}"
200004_10,4,3.052096605300904,TERRACLIMATE,WA011,2000,"{""type"":""Point"",""coordinates"":[1.22,6.130000000000001]}"
200004_11,4,3.1583268642425537,TERRACLIMATE,WA012,2000,"{""type"":""Point"",""coordinates"":[2.42,6.37]}"
200004_12,4,0.0,TERRACLIMATE,WA013,2000,"{""type"":""Point"",""coordinates"":[8.52,12.05]}"
200004_13,4,5.870802402496338,TERRACLIMATE,WA014,2000,"{""type"":""Point"",""coordinates"":[-1.62,6.69]}"
