zone_name,product,composite_score,kge,nse,r,pbias
Saharian,GPM_IMERG,0.8728,0.6717,0.7711,0.9053,30.22
Saharian,PERSIANN_CDR,0.8647,0.7896,0.752,0.8702,14.12
Saharian,CHIRPS,0.7099,0.7681,0.6671,0.8332,16.02
Saharian,TERRACLIMATE,0.6853,0.7759,0.6922,0.8327,5.27
Saharian,MERRA2,0.2717,0.4119,-0.1552,0.5916,30.74
Saharian,ERA5_LAND,0.2519,0.2206,0.4068,0.7015,-52.35
Sahelian,GPM_IMERG,0.9579,0.9441,0.9396,0.9695,1.98
Sahelian,CHIRPS,0.7512,0.8567,0.901,0.9526,-7.43
Sahelian,TERRACLIMATE,0.7199,0.9314,0.8903,0.9437,-0.64
Sahelian,PERSIANN_CDR,0.621,0.9045,0.8696,0.9329,3.51
Sahelian,MERRA2,0.4551,0.8428,0.8383,0.917,-4.73
Sahelian,ERA5_LAND,0.0909,0.6198,0.7747,0.9096,-28.74
Soudanian,GPM_IMERG,0.8072,0.8658,0.9023,0.9528,5.92
Soudanian,CHIRPS,0.7951,0.8795,0.8164,0.9044,3.57
Soudanian,ERA5_LAND,0.6355,0.8555,0.7209,0.862,4.2
Soudanian,MERRA2,0.5146,0.7398,0.488,0.7859,-2.57
Soudanian,PERSIANN_CDR,0.46,0.6743,0.7272,0.8684,-7.06
Soudanian,TERRACLIMATE,0.3319,0.4669,0.3076,0.8314,27.26
Guinean,GPM_IMERG,0.8068,0.8034,0.7563,0.8707,4.63
Guinean,PERSIANN_CDR,0.7722,0.6081,0.6368,0.8189,-13.93
Guinean,CHIRPS,0.7556,0.7724,0.6414,0.8368,15.41
Guinean,ERA5_LAND,0.4741,0.7129,0.5268,0.7931,18.74
Guinean,TERRACLIMATE,0.2992,0.4854,0.1941,0.762,33.49
Guinean,MERRA2,0.2867,0.5671,0.1128,0.6145,-16.43
Guineo-Congolean,GPM_IMERG,0.9718,0.9172,0.85,0.9237,-2.03
Guineo-Congolean,PERSIANN_CDR,0.6054,0.8087,0.7338,0.857,1.49
Guineo-Congolean,CHIRPS,0.5378,0.859,0.7432,0.8758,6.62
Guineo-Congolean,MERRA2,0.397,0.8031,0.6778,0.8327,7.02
Guineo-Congolean,TERRACLIMATE,0.2596,0.7717,0.5598,0.8106,5.32
Guineo-Congolean,ERA5_LAND,0.215,0.7174,0.539,0.7469,3.24
