threshold,zone,product,pod,far,csi,ets,freq_bias
0.1,Saharian,CHIRPS,0.8769,0.1857,0.7308,0.6443,1.0769
0.1,Saharian,ERA5_LAND,0.6462,0.125,0.5915,0.5,0.7385
0.1,Saharian,GPM_IMERG,0.9846,0.2,0.7901,0.7135,1.2308
0.1,Saharian,MERRA2,0.9385,0.2179,0.7439,0.655,1.2
0.1,Saharian,PERSIANN_CDR,0.9538,0.1733,0.7949,0.7226,1.1538
0.1,Saharian,TERRACLIMATE,0.8923,0.2658,0.6744,0.5666,1.2154
0.1,Sahelian,CHIRPS,0.9632,0.0604,0.9071,0.821,1.0251
0.1,Sahelian,ERA5_LAND,0.9264,0.0497,0.8836,0.783,0.9749
0.1,Sahelian,GPM_IMERG,0.9983,0.1246,0.8741,0.7494,1.1405
0.1,Sahelian,MERRA2,0.9833,0.1811,0.8077,0.6218,1.2007
0.1,Sahelian,PERSIANN_CDR,0.9883,0.1593,0.8324,0.6691,1.1756
0.1,Sahelian,TERRACLIMATE,0.9716,0.0992,0.8776,0.7622,1.0786
0.1,Soudanian,CHIRPS,0.9814,0.1754,0.8119,0.5419,1.1903
0.1,Soudanian,ERA5_LAND,0.9652,0.1405,0.8337,0.6034,1.123
0.1,Soudanian,GPM_IMERG,1.0,0.1914,0.8086,0.5232,1.2367
0.1,Soudanian,MERRA2,0.9814,0.0981,0.8868,0.7248,1.0882
0.1,Soudanian,PERSIANN_CDR,0.9838,0.2319,0.7585,0.4094,1.2807
0.1,Soudanian,TERRACLIMATE,0.9582,0.1041,0.8622,0.6749,1.0696
0.1,Guinean,CHIRPS,1.0,0.1322,0.8678,0.1795,1.1523
0.1,Guinean,ERA5_LAND,0.9967,0.14,0.8575,0.1288,1.1589
0.1,Guinean,GPM_IMERG,1.0,0.1371,0.8629,0.1488,1.1589
0.1,Guinean,MERRA2,0.9834,0.0541,0.931,0.6042,1.0397
0.1,Guinean,PERSIANN_CDR,0.9967,0.14,0.8575,0.1288,1.1589
0.1,Guinean,TERRACLIMATE,0.995,0.1487,0.8477,0.0749,1.1689
0.1,Guineo-Congolean,CHIRPS,1.0,0.0723,0.9277,0.0742,1.078
0.1,Guineo-Congolean,ERA5_LAND,1.0,0.0752,0.9248,0.037,1.0814
0.1,Guineo-Congolean,GPM_IMERG,1.0,0.0525,0.9475,0.3285,1.0554
0.1,Guineo-Congolean,MERRA2,0.9989,0.0586,0.9404,0.2469,1.061
0.1,Guineo-Congolean,PERSIANN_CDR,0.9966,0.0696,0.9274,0.1046,1.0712
0.1,Guineo-Congolean,TERRACLIMATE,0.9921,0.0539,0.939,0.283,1.0486
0.1,All West Africa,CHIRPS,0.9853,0.1058,0.8825,0.6504,1.1018
0.1,All West Africa,ERA5_LAND,0.9675,0.0985,0.875,0.6399,1.0732
0.1,All West Africa,GPM_IMERG,0.9992,0.1188,0.8806,0.6357,1.134
0.1,All West Africa,MERRA2,0.9872,0.0996,0.8901,0.6719,1.0964
0.1,All West Africa,PERSIANN_CDR,0.9915,0.14,0.8537,0.5596,1.1529
0.1,All West Africa,TERRACLIMATE,0.9799,0.1022,0.8816,0.6512,1.0914
