system:index,month,precip_mm_day,product,station_id,year,.geo
12_0_0,1,0.010430604,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_0,2,0.06456663,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_0,3,0.0014567806,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_0,4,0.0,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_0,5,6.324336E-5,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_0,6,0.011027155,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_0,7,0.41262293,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_0,8,1.3967268,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_0,9,2.6408157,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_0,10,0.03255999,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_0,11,0.0155143365,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_0,12,0.03571514,CHIRPS,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_0,1,0.040637802,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_0,2,0.061757877,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_0,3,0.0031587388,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_0,4,0.003150767,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_0,5,0.0033709963,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_0,6,0.0039598723,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_0,7,0.09966103,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_0,8,0.873815,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_0,9,1.7162759,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_0,10,0.40452906,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_0,11,0.0106886625,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0_0,12,0.03229787,CHIRPS,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0_0,1,0.0032006216,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0_0,2,0.07013839,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0_0,3,0.008621804,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_0,4,0.002255412,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0_0,5,0.0034693312,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0_0,6,0.02619386,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0_0,7,0.2856561,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0_0,8,1.5454311,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0_0,9,2.6885421,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0_0,10,0.52212214,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0_0,11,0.0030891343,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0_0,12,0.030267134,CHIRPS,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0_0,1,0.029727733,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0_0,2,0.060202125,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0_0,3,6.773122E-4,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0_0,4,2.3250368E-5,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0_0,5,0.0,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0_0,6,0.0,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0_0,7,0.4806294,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0_0,8,1.4448591,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0_0,9,0.85961133,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0_0,10,0.019285852,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0_0,11,0.017642932,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0_0,12,0.029623007,CHIRPS,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0_0,1,0.025420908,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0_0,2,0.08253237,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0_0,3,8.5834945E-6,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0_0,4,4.7967487E-4,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0_0,5,0.004785792,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0_0,6,0.10127645,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0_0,7,0.3506885,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0_0,8,2.2200446,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0_0,9,1.7241021,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0_0,10,0.0254074,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0_0,11,0.013255042,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0_0,12,0.0370597,CHIRPS,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0_0,1,0.029631617,CHIRPS,WA016,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0_0,2,0.06731547,CHIRPS,WA016,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0_0,3,0.0018029757,CHIRPS,WA016,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0_0,4,1.5972904E-4,CHIRPS,WA016,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0_0,5,0.0019280214,CHIRPS,WA016,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0_0,6,4.9303885E-4,CHIRPS,WA016,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0_0,7,1.0613708,CHIRPS,WA016,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0_0,8,1.0198519,CHIRPS,WA016,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0_0,9,1.8240644,CHIRPS,WA016,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
