system:index,month,precip_mm_day,product,station_id,year,.geo
200101_0_0,1,9.134823E-4,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200102_0_0,2,0.0013138006,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200103_0_0,3,0.002999586,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200104_0_0,4,0.0019926296,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200105_0_0,5,0.0012350675,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200106_0_0,6,6.4460054E-4,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200107_0_0,7,0.1048866,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200108_0_0,8,0.20633632,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200109_0_0,9,0.18280004,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200110_0_0,10,0.14961953,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200111_0_0,11,0.635346,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200112_0_0,12,0.017918972,ERA5_LAND,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200201_0_0,1,1.2801396,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200202_0_0,2,0.0012657449,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200203_0_0,3,0.0038165117,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200204_0_0,4,9.2182786E-4,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200205_0_0,5,0.0022268489,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200206_0_0,6,0.0034643488,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200207_0_0,7,0.001091895,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200208_0_0,8,0.04615688,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200209_0_0,9,0.072513044,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200210_0_0,10,0.5422223,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200211_0_0,11,0.0010277302,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200212_0_0,12,0.004072342,ERA5_LAND,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200301_0_0,1,0.05251279,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200302_0_0,2,0.066933155,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200303_0_0,3,8.583304E-4,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200304_0_0,4,0.0011661886,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200305_0_0,5,0.0010508283,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200306_0_0,6,8.1014633E-4,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200307_0_0,7,0.006116489,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200308_0_0,8,0.3967562,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200309_0_0,9,0.8723482,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200310_0_0,10,1.6650256,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200311_0_0,11,9.278083E-4,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200312_0_0,12,0.03980043,ERA5_LAND,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200401_0_0,1,0.036062587,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200402_0_0,2,0.022999771,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200403_0_0,3,0.03412945,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200404_0_0,4,0.0056040566,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200405_0_0,5,8.903233E-4,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200406_0_0,6,9.4311417E-4,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200407_0_0,7,0.23333377,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200408_0_0,8,0.07669048,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200409_0_0,9,0.009282805,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200410_0_0,10,0.004805919,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200411_0_0,11,0.040359437,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200412_0_0,12,0.028235516,ERA5_LAND,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200501_0_0,1,0.071009554,ERA5_LAND,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200502_0_0,2,0.6333515,ERA5_LAND,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200503_0_0,3,0.04918001,ERA5_LAND,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200504_0_0,4,0.006427688,ERA5_LAND,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200505_0_0,5,0.003273539,ERA5_LAND,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200506_0_0,6,0.011031368,ERA5_LAND,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200507_0_0,7,0.39021125,ERA5_LAND,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200508_0_0,8,0.5424723,ERA5_LAND,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200509_0_0,9,1.2441618,ERA5_LAND,WA016,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
