system:index,month,precip_mm_day,product,station_id,year,.geo
12_0_0,1,0.0,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_0,2,7.1948767E-4,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_0,3,8.660122E-5,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_0,4,9.3737623E-4,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_0,5,8.2428084E-4,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_0,6,0.024614856,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_0,7,0.51284564,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_0,8,1.2826277,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_0,9,2.3020213,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_0,10,0.0207467,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_0,11,0.0781673,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_0,12,4.339651E-5,PERSIANN_CDR,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_0,1,0.8049053,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_0,2,0.0032470138,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_0,3,0.0,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_0,4,0.0,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_0,5,0.0041484134,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_0,6,0.018325573,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_0,7,0.07960398,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_0,8,0.6211527,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_0,9,0.9357098,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_0,10,0.1980952,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_0,11,0.0,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0_0,12,0.0,PERSIANN_CDR,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0_0,1,4.3475713E-5,PERSIANN_CDR,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0_0,2,2.874368E-4,PERSIANN_CDR,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0_0,3,0.0,PERSIANN_CDR,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0_0,4,0.002301409,PERSIANN_CDR,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0_0,5,0.0,PERSIANN_CDR,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0_0,6,0.04578466,PERSIANN_CDR,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
