system:index,month,precip_mm_day,product,station_id,year,.geo
200101_0_0,1,0.0,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200102_0_0,2,0.0,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200103_0_0,3,0.0,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200104_0_0,4,0.0,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200105_0_0,5,0.0,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200106_0_0,6,0.16871941,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200107_0_0,7,0.2580344,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200108_0_0,8,1.3023762,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200109_0_0,9,2.3769407,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200110_0_0,10,0.032258064,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200111_0_0,11,0.08333539,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200112_0_0,12,0.0,TERRACLIMATE,WA016,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200201_0_0,1,0.0,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200202_0_0,2,0.0,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200203_0_0,3,0.0,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200204_0_0,4,0.0,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200205_0_0,5,0.0,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200206_0_0,6,0.033333335,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200207_0_0,7,0.024177501,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200208_0_0,8,0.4899048,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200209_0_0,9,1.0749233,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200210_0_0,10,0.3548387,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200211_0_0,11,0.0,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200212_0_0,12,0.056435563,TERRACLIMATE,WA016,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200301_0_0,1,0.0,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200302_0_0,2,0.0,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200303_0_0,3,0.0,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200304_0_0,4,0.0,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200305_0_0,5,0.0,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200306_0_0,6,0.0,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200307_0_0,7,0.19150166,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200308_0_0,8,1.411184,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200309_0_0,9,1.4915568,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200310_0_0,10,0.5100651,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200311_0_0,11,0.0,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200312_0_0,12,0.0,TERRACLIMATE,WA016,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200401_0_0,1,0.008080563,TERRACLIMATE,WA016,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
